mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,junk
23.0,8,350.0,125.0,3900.0,17.4,79.0,1,cadillac eldorado,-1.9461278415781265
27.2,4,141.0,71.00,3190.0,24.8,79.0,2,peugeot 504,-1.8584713161554929
23.9,8,260.0,90.00,3420.0,22.2,79.0,1,oldsmobile cutlass salon brougham,2.329102702846146
34.2,4,105.0,70.00,2200.0,13.2,79.0,1,plymouth horizon,-1.0379055273229405
34.5,4,105.0,70.00,2150.0,14.9,79.0,1,plymouth horizon tc3,1.1415632866055656
31.8,4,85.0,65.00,2020.0,19.2,79.0,3,datsun 210,0.6712548190304797
37.3,4,91.0,69.00,2130.0,14.7,79.0,2,fiat strada custom,-0.5673688756352254
28.4,4,151.0,90.00,2670.0,16.0,79.0,1,buick skylark limited,-0.7139283542837102
28.8,6,173.0,115.0,2595.0,11.3,79.0,1,chevrolet citation,-1.0454000987562972
26.8,6,173.0,115.0,2700.0,12.9,79.0,1,oldsmobile omega brougham,0.140573745680047
33.5,4,151.0,90.00,2556.0,13.2,79.0,1,pontiac phoenix,-0.7851698102488017
41.5,4,98.0,76.00,2144.0,14.7,80.0,2,vw rabbit,1.4978245396954026
38.1,4,89.0,60.00,1968.0,18.8,80.0,3,toyota corolla tercel,-0.4382473404355944
32.1,4,98.0,70.00,2120.0,15.5,80.0,1,chevrolet chevette,-0.8073846817626621
37.2,4,86.0,65.00,2019.0,16.4,80.0,3,datsun 310,0.9506195578742928
28.0,4,151.0,90.00,2678.0,16.5,80.0,1,chevrolet citation,1.3481745160478509
26.4,4,140.0,88.00,2870.0,18.1,80.0,1,ford fairmont,-2.170451498727836
24.3,4,151.0,90.00,3003.0,20.1,80.0,1,amc concord,-0.7853154356881625
19.1,6,225.0,90.00,3381.0,18.7,80.0,1,dodge aspen,-0.8552162254165585
34.3,4,97.0,78.00,2188.0,15.8,80.0,2,audi 4000,0.020816400208493333
29.8,4,134.0,90.00,2711.0,15.5,80.0,3,toyota corona liftback,0.8120395657298948
31.3,4,120.0,75.00,2542.0,17.5,80.0,3,mazda 626,-0.0524941226494786
37.0,4,119.0,92.00,2434.0,15.0,80.0,3,datsun 510 hatchback,1.060709132772641
32.2,4,108.0,75.00,2265.0,15.2,80.0,3,toyota corolla,-2.4243781314635013
46.6,4,86.0,65.00,2110.0,17.9,80.0,3,mazda glc,0.4604627867413466
27.9,4,156.0,105.0,2800.0,14.4,80.0,1,dodge colt,0.4645324266816882
40.8,4,85.0,65.00,2110.0,19.2,80.0,3,datsun 210,0.08056938122019018
44.3,4,90.0,48.00,2085.0,21.7,80.0,2,vw rabbit c (diesel),0.4721199260166833
43.4,4,90.0,48.00,2335.0,23.7,80.0,2,vw dasher (diesel),0.3089624453084905
36.4,5,121.0,67.00,2950.0,19.9,80.0,2,audi 5000s (diesel),-1.0193382338158694
30.0,4,146.0,67.00,3250.0,21.8,80.0,2,mercedes-benz 240d,1.3261463813972127
44.6,4,91.0,67.00,1850.0,13.8,80.0,3,honda civic 1500 gl,-2.099699761955672
33.8,4,97.0,67.00,2145.0,18.0,80.0,3,subaru dl,0.3228755350705642
29.8,4,89.0,62.00,1845.0,15.3,80.0,2,vokswagen rabbit,-1.0024673083066822
32.7,6,168.0,132.0,2910.0,11.4,80.0,3,datsun 280-zx,0.5846134945314598
23.7,3,70.0,100.0,2420.0,12.5,80.0,3,mazda rx-7 gs,-1.3900086852188238
35.0,4,122.0,88.00,2500.0,15.1,80.0,2,triumph tr7 coupe,0.5717392609024511
32.4,4,107.0,72.00,2290.0,17.0,80.0,3,honda accord,-1.9710599659964791
27.2,4,135.0,84.00,2490.0,15.7,81.0,1,plymouth reliant,0.18731912114960125
26.6,4,151.0,84.00,2635.0,16.4,81.0,1,buick skylark,0.1899428250280029
25.8,4,156.0,92.00,2620.0,14.4,81.0,1,dodge aries wagon (sw),-1.2947860788527892
23.5,6,173.0,110.0,2725.0,12.6,81.0,1,chevrolet citation,-0.7042401541514822
30.0,4,135.0,84.00,2385.0,12.9,81.0,1,plymouth reliant,-0.4588007819389843
39.1,4,79.0,58.00,1755.0,16.9,81.0,3,toyota starlet,-0.8820439075402389
39.0,4,86.0,64.00,1875.0,16.4,81.0,1,plymouth champ,0.7228727521817129
35.1,4,81.0,60.00,1760.0,16.1,81.0,3,honda civic 1300,1.2445404719108015
32.3,4,97.0,67.00,2065.0,17.8,81.0,3,subaru,-0.32885078197736584
37.0,4,85.0,65.00,1975.0,19.4,81.0,3,datsun 210 mpg,1.1943889117561537
37.7,4,89.0,62.00,2050.0,17.3,81.0,3,toyota tercel,-0.6963738738025578
34.1,4,91.0,68.00,1985.0,16.0,81.0,3,mazda glc 4,-0.8104671789388092
34.7,4,105.0,63.00,2215.0,14.9,81.0,1,plymouth horizon 4,-1.5758558771515303
34.4,4,98.0,65.00,2045.0,16.2,81.0,1,ford escort 4w,1.2272959643630412
29.9,4,98.0,65.00,2380.0,20.7,81.0,1,ford escort 2h,0.7530015825771366
33.0,4,105.0,74.00,2190.0,14.2,81.0,2,volkswagen jetta,1.2081860933718702
33.7,4,107.0,75.00,2210.0,14.4,81.0,3,honda prelude,-0.06499242400383128
32.4,4,108.0,75.00,2350.0,16.8,81.0,3,toyota corolla,-1.1820828953518647
32.9,4,119.0,100.0,2615.0,14.8,81.0,3,datsun 200sx,-0.7480827311641706
31.6,4,120.0,74.00,2635.0,18.3,81.0,3,mazda 626,-0.8160540020681653
28.1,4,141.0,80.00,3230.0,20.4,81.0,2,peugeot 505s turbo diesel,1.5338025065773309
30.7,6,145.0,76.00,3160.0,19.6,81.0,2,volvo diesel,-1.7940430146316582
25.4,6,168.0,116.0,2900.0,12.6,81.0,3,toyota cressida,1.7130432196454406
24.2,6,146.0,120.0,2930.0,13.8,81.0,3,datsun 810 maxima,-1.1647358972180084
22.4,6,231.0,110.0,3415.0,15.8,81.0,1,buick century,-0.476831559818162
26.6,8,350.0,105.0,3725.0,19.0,81.0,1,oldsmobile cutlass ls,-1.5548519650701622
20.2,6,200.0,88.00,3060.0,17.1,81.0,1,ford granada gl,0.14180151669705554
17.6,6,225.0,85.00,3465.0,16.6,81.0,1,chrysler lebaron salon,0.7084127865139688
28.0,4,112.0,88.00,2605.0,19.6,82.0,1,chevrolet cavalier,-0.10702419789629093
27.0,4,112.0,88.00,2640.0,18.6,82.0,1,chevrolet cavalier wagon,-2.0369360530175618
34.0,4,112.0,88.00,2395.0,18.0,82.0,1,chevrolet cavalier 2-door,0.6727983717035333
31.0,4,112.0,85.00,2575.0,16.2,82.0,1,pontiac j2000 se hatchback,0.20767260367923165
29.0,4,135.0,84.00,2525.0,16.0,82.0,1,dodge aries se,-0.6678501975625949
27.0,4,151.0,90.00,2735.0,18.0,82.0,1,pontiac phoenix,-1.3850126287608469
24.0,4,140.0,92.00,2865.0,16.4,82.0,1,ford fairmont futura,0.5747186561174407
36.0,4,105.0,74.00,1980.0,15.3,82.0,2,volkswagen rabbit l,0.044033320187037615
37.0,4,91.0,68.00,2025.0,18.2,82.0,3,mazda glc custom l,-0.4483281642414091
31.0,4,91.0,68.00,1970.0,17.6,82.0,3,mazda glc custom,0.643378979476185
38.0,4,105.0,63.00,2125.0,14.7,82.0,1,plymouth horizon miser,-1.4565334701039778
36.0,4,98.0,70.00,2125.0,17.3,82.0,1,mercury lynx l,-0.7109704720866113
36.0,4,120.0,88.00,2160.0,14.5,82.0,3,nissan stanza xe,-1.937599269031252
36.0,4,107.0,75.00,2205.0,14.5,82.0,3,honda accord,1.0050382380744782
34.0,4,108.0,70.00,2245.0,16.9,82.0,3,toyota corolla,-0.34045695647781365
38.0,4,91.0,67.00,1965.0,15.0,82.0,3,honda civic,-0.07004455800056815
32.0,4,91.0,67.00,1965.0,15.7,82.0,3,honda civic (auto),1.4230822778985632
38.0,4,91.0,67.00,1995.0,16.2,82.0,3,datsun 310 gx,-1.3130358524749055
25.0,6,181.0,110.0,2945.0,16.4,82.0,1,buick century limited,-1.0025390202169495
38.0,6,262.0,85.00,3015.0,17.0,82.0,1,oldsmobile cutlass ciera (diesel),0.9973310319106178
26.0,4,156.0,92.00,2585.0,14.5,82.0,1,chrysler lebaron medallion,-1.3734342393701795
22.0,6,232.0,112.0,2835.0,14.7,82.0,1,ford granada l,0.5662668497078645
32.0,4,144.0,96.00,2665.0,13.9,82.0,3,toyota celica gt,1.3312121379844646
36.0,4,135.0,84.00,2370.0,13.0,82.0,1,dodge charger 2.2,0.7360725610858985
27.0,4,151.0,90.00,2950.0,17.3,82.0,1,chevrolet camaro,0.05655229830984301
27.0,4,140.0,86.00,2790.0,15.6,82.0,1,ford mustang gl,0.20119932133012147
44.0,4,97.0,52.00,2130.0,24.6,82.0,2,vw pickup,1.3887145575257245
32.0,4,135.0,84.00,2295.0,11.6,82.0,1,dodge rampage,-0.7645920015852783
28.0,4,120.0,79.00,2625.0,18.6,82.0,1,ford ranger,-0.4044730777260407
31.0,4,119.0,82.00,2720.0,19.4,82.0,1,chevy s-10,-1.671970559028674
